Normal start with HEPAX

s   276    01C4  1  23C   -   8.0000000000.0.00 || 0000 00000000
s   277    01C5  1  046   -   0.0000000000.0.3C || 0000 00000000
s   278    01C6  1  17C   -   0.4800000000.0.00 || 0000 00000000
s   279    01C7  1  3A8   -   0.0000000000.0.00 || 0000 00000000
s   280    01C8  1  2C4   -   0.000003C048.0.00 || 0000 00000000
s   281    01C9  1  261   -   0.000003C048.0.00 || 0000 00000000
s   282    01CA  0  000   -   0.000003C048.0.00 || 0000 00000000
s   283    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   284    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   285    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   286    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   287    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   288    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   289    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   290    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   291    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   292    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   293    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   294    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   295    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   296    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   297    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   298    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   299    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   300    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   301    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   302    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   303    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   304    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   305    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   306    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   307    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   308    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   309    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   310    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   311    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   312    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   313    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   314    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   315    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   316    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   317    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   318    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   319    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   320    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   321    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   322    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   323    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   324    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   325    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   326    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   327    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   328    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   329    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   330    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   331    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   332    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   333    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   334    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   335    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   336    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   337    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   338    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   339    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   340    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   341    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   342    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   343    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   344    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   345    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   346    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   347    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   348    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   349    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   350    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   351    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   352    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   353    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   354    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   355    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   356    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   357    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   358    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   359    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   360    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   361    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   362    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   363    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   364    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   365    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   366    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   367    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   368    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   369    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   370    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   371    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   372    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   373    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   374    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   375    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   376    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   377    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   378    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   379    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   380    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   381    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   382    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   383    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   384    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   385    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   386    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   387    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   388    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   389    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   390    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
s   391    0098  1  3C8   -   0.000003C048.0.00 || 0000 00000000
s   392    0099  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s   393    009A  1  3F7   -   0.000003C048.0.00 || 0000 00000000
